numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
91205903,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,UC,1201,C,06-11-12 0:00,06-11-12 0:00,08-09-17 0:00,501,4658478,4658478,ALLOCATION MD,10
91205914,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,1,CARGA GENERAL,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,UC,1201,C,07-11-12 0:00,06-11-12 22:00,09-09-17 0:00,501,0,0,ALLOCATION MD,10
91206080,MIA,COR,USA,Argentina,NA_USA_Florida,SA_Argentina_COR,MIA,SCL,MIA-SCL-COR,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,LA,501,P,24-10-12 0:00,24-10-12 21:30,10-09-17 0:00,169,365.5,690.3,Only Pax,1
91206091,MIA,IQQ,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL-IQQ,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,UC,1101,C,30-10-12 0:00,30-10-12 17:11,11-09-17 0:00,1551,13927500,2597.9,only Cargo,3
91206124,MIA,COR,USA,Argentina,NA_USA_Florida,SA_Argentina_COR,MIA,SCL,MIA-SCL-COR,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING,LA,501,P,31-10-12 0:00,31-10-12 21:31,12-09-17 0:00,5,7468454.315,190.2,Only Pax,1
91206135,MIA,COR,USA,Argentina,NA_USA_Florida,SA_Argentina_COR,MIA,SCL,MIA-SCL-COR,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,LA,591,P,03-11-12 0:00,03-11-12 8:09,13-09-17 0:00,235,505.25,923.65,Only Pax,1
91206146,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,1,CARGA GENERAL,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,4M,4521,P,03-11-12 0:00,03-11-12 20:43,14-09-17 0:00,277,455,1181.25,Only Pax,1
91206150,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,RF,125,C,04-11-12 0:00,03-11-12 23:57,15-09-17 0:00,301,455.3,455.3,only Cargo,23
91207244,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA-GRU,1,CARGA GENERAL,MIA,ELEMAR INTERNATIONAL FORWARDING,ELEMAR INTERNATIONAL FORWARDING,JJ,8095,P,07-11-12 0:00,07-11-12 0:00,16-09-17 0:00,964,0,0,Only Pax,3
91207970,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA-GRU,97,CONSOLIDADO,MIA,DELMAR INTL INC.,DELMAR INTL INC.,JJ,8095,P,01-11-12 0:00,01-11-12 0:00,17-09-17 0:00,668,308.79,1126.34,Only Pax,9
